participant	image	question_type	number_of_fixations	saccade_len_m	saccade_len_std	aoi_shift	first_time_on_task	fixation_task_ratio	title_ratio	legend_ratio	axis_ratio	mark_ratio	revisit_freq_title	revisit_freq_legend	revisit_freq_axis	revisit_freq_mark	scanpath_str
38	economist_daily_chart_85	C	101	264.415	235.607	26	96	0.0099	0.495	0.0	0.2772	0.0891	8	0	12	6	MMATATTTAMMAAAZAZMZAZZZTTTTTTTTTTTTAAAAAMZMZTTAAAZMZAATTTTTTMAAAATAAZAATTTTTTZTZTTTTTTTTTZTTTTTTTATTA
38	economist_daily_chart_392	C	101	194.223	168.144	23	-1	0.0	0.2772	0.0	0.4257	0.0792	8	0	10	5	MZTAAAZATTTZTTAAAAAAATTAAAAAAATTZAAAAMAAAZAZAMAAZTTTTTTTTTZTTAAAAAATTTTTAZZZZTZAAMAAZZZZAZAZATZMMZMMZ
17	economist_daily_chart_35	A	101	274.169	255.689	27	14	0.0099	0.1089	0.0099	0.2277	0.2871	5	1	9	12	MZZMAAAAMAAZZZTZTTLMMMMMMMMAAAMMZAAATTMZAMMMMMTTZTTMMAAAMZTZZMMAAMMMAZZZZZZZZZZZZZZZZZZZZZZMAAAAMTZZZ
17	economist_daily_chart_165	A	101	186.329	193.721	26	2	0.2673	0.5545	0.0693	0.1089	0.0594	8	5	7	6	MALTTAAAAMAMAZMTTTTZTTLLAZZMTLZLTTTTTTTTTTTZTTTTTTZTTTTTTTTTTTTTTTTTTTTTLTTAZTZZZZZZZAAZZZZTZTZTTTLTM
17	economist_daily_chart_85	A	101	223.339	220.198	28	25	0.0693	0.5248	0.0	0.3069	0.099	10	0	12	6	MATTTTTTTTTTTTTTTTTZTTZTTTTTATAZAAATTTTTTTMMMTTTTTTTAAZMZMATTAAMZMAATTAMAAAAAAAATTTTATTTTMZATAAAAAAAT
17	economist_daily_chart_392	A	101	239.379	181.333	31	11	0.1881	0.3168	0.0	0.3168	0.198	10	0	12	9	MATMAMMMMAATTTTZZTZTAZMTTAAZZTTZAAAMAAAATZAMMZTTTTTZZTTAZTZMMMMMMMTTTTTTZTAAAAAZTTTAZAAAAAAATTMAAAZMM
17	economist_daily_chart_35	B	101	274.169	255.689	27	36	0.0396	0.1089	0.0099	0.2277	0.2871	5	1	9	12	MZZMAAAAMAAZZZTZTTLMMMMMMMMAAAMMZAAATTMZAMMMMMTTZTTMMAAAMZTZZMMAAMMMAZZZZZZZZZZZZZZZZZZZZZZMAAAAMTZZZ
17	economist_daily_chart_165	B	101	186.329	193.721	26	6	0.0198	0.5545	0.0693	0.1089	0.0594	8	5	7	6	MALTTAAAAMAMAZMTTTTZTTLLAZZMTLZLTTTTTTTTTTTZTTTTTTZTTTTTTTTTTTTTTTTTTTTTLTTAZTZZZZZZZAAZZZZTZTZTTTLTM
17	economist_daily_chart_85	B	101	223.339	220.198	28	30	0.0792	0.5248	0.0	0.3069	0.099	10	0	12	6	MATTTTTTTTTTTTTTTTTZTTZTTTTTATAZAAATTTTTTTMMMTTTTTTTAAZMZMATTAAMZMAATTAMAAAAAAAATTTTATTTTMZATAAAAAAAT
17	economist_daily_chart_392	B	101	239.379	181.333	31	1	0.0693	0.3168	0.0	0.3168	0.198	10	0	12	9	MATMAMMMMAATTTTZZTZTAZMTTAAZZTTZAAAMAAAATZAMMZTTTTTZZTTAZTZMMMMMMMTTTTTTZTAAAAAZTTTAZAAAAAAATTMAAAZMM
17	economist_daily_chart_35	C	101	274.169	255.689	27	-1	0.0	0.1089	0.0099	0.2277	0.2871	5	1	9	12	MZZMAAAAMAAZZZTZTTLMMMMMMMMAAAMMZAAATTMZAMMMMMTTZTTMMAAAMZTZZMMAAMMMAZZZZZZZZZZZZZZZZZZZZZZMAAAAMTZZZ
17	economist_daily_chart_165	C	101	186.329	193.721	26	-1	0.0	0.5545	0.0693	0.1089	0.0594	8	5	7	6	MALTTAAAAMAMAZMTTTTZTTLLAZZMTLZLTTTTTTTTTTTZTTTTTTZTTTTTTTTTTTTTTTTTTTTTLTTAZTZZZZZZZAAZZZZTZTZTTTLTM
17	economist_daily_chart_85	C	101	223.339	220.198	28	-1	0.0	0.5248	0.0	0.3069	0.099	10	0	12	6	MATTTTTTTTTTTTTTTTTZTTZTTTTTATAZAAATTTTTTTMMMTTTTTTTAAZMZMATTAAMZMAATTAMAAAAAAAATTTTATTTTMZATAAAAAAAT
17	economist_daily_chart_392	C	101	239.379	181.333	31	-1	0.0	0.3168	0.0	0.3168	0.198	10	0	12	9	MATMAMMMMAATTTTZZTZTAZMTTAAZZTTZAAAMAAAATZAMMZTTTTTZZTTAZTZMMMMMMMTTTTTTZTAAAAAZTTTAZAAAAAAATTMAAAZMM
29	economist_daily_chart_35	A	101	312.008	225.427	51	7	0.0396	0.198	0.0594	0.2673	0.2475	13	6	14	18	MLTZTTTMAAMAAMTAZMMTTMAAAZTMATTZZTMZZAZTTMMLMZZTAAATLTZLMMAAMTZZAATZAZMAMZMZLZZZAAAAATZMMMMAAMZAMZLTM
29	economist_daily_chart_165	A	101	185.313	171.418	30	4	0.2673	0.5743	0.0792	0.1089	0.0891	8	6	9	7	MZLTTZTLTTTTZZZTTTTTTZTTTTTTTTTTTTTTZTTTTTTTTZTTAMAMATTZTTTTLALLLZTTTTZZZMMAZTTTZTTTAAALMMTTAMTTAMLTA
29	economist_daily_chart_85	A	101	275.673	252.336	23	30	0.0099	0.2574	0.0	0.3267	0.1782	4	0	11	8	MAAATTTTZTTTTAAAAZZAAATTTTTTTTTTZTTTTZTZAAMMMZTTAMAMZZAAMMMAAAAAAAAZMMMMZZAZAZMAZAAAMMZMMZATAZZAZZZZZ
29	economist_daily_chart_392	A	101	160.948	164.806	16	4	0.297	0.495	0.0	0.2673	0.0495	6	0	6	4	MAAZTTZZZAAZZZAAZAAAAAMATAAAZTTTTTTTTTZTTTMTZAAAAAAAAZAATTTTZAAMMTZZTTTZZTTTTTTZTTTTTTTTZTTTTTTTTTTTT
29	economist_daily_chart_35	B	101	312.008	225.427	51	28	0.0297	0.198	0.0594	0.2673	0.2475	13	6	14	18	MLTZTTTMAAMAAMTAZMMTTMAAAZTMATTZZTMZZAZTTMMLMZZTAAATLTZLMMAAMTZZAATZAZMAMZMZLZZZAAAAATZMMMMAAMZAMZLTM
29	economist_daily_chart_165	B	101	185.313	171.418	30	49	0.0297	0.5743	0.0792	0.1089	0.0891	8	6	9	7	MZLTTZTLTTTTZZZTTTTTTZTTTTTTTTTTTTTTZTTTTTTTTZTTAMAMATTZTTTTLALLLZTTTTZZZMMAZTTTZTTTAAALMMTTAMTTAMLTA
29	economist_daily_chart_85	B	101	275.673	252.336	23	14	0.0297	0.2574	0.0	0.3267	0.1782	4	0	11	8	MAAATTTTZTTTTAAAAZZAAATTTTTTTTTTZTTTTZTZAAMMMZTTAMAMZZAAMMMAAAAAAAAZMMMMZZAZAZMAZAAAMMZMMZATAZZAZZZZZ
29	economist_daily_chart_392	B	101	160.948	164.806	16	23	0.0297	0.495	0.0	0.2673	0.0495	6	0	6	4	MAAZTTZZZAAZZZAAZAAAAAMATAAAZTTTTTTTTTZTTTMTZAAAAAAAAZAATTTTZAAMMTZZTTTZZTTTTTTZTTTTTTTTZTTTTTTTTTTTT
29	economist_daily_chart_35	C	101	312.008	225.427	51	-1	0.0	0.198	0.0594	0.2673	0.2475	13	6	14	18	MLTZTTTMAAMAAMTAZMMTTMAAAZTMATTZZTMZZAZTTMMLMZZTAAATLTZLMMAAMTZZAATZAZMAMZMZLZZZAAAAATZMMMMAAMZAMZLTM
29	economist_daily_chart_165	C	101	185.313	171.418	30	43	0.0099	0.5743	0.0792	0.1089	0.0891	8	6	9	7	MZLTTZTLTTTTZZZTTTTTTZTTTTTTTTTTTTTTZTTTTTTTTZTTAMAMATTZTTTTLALLLZTTTTZZZMMAZTTTZTTTAAALMMTTAMTTAMLTA
29	economist_daily_chart_85	C	101	275.673	252.336	23	-1	0.0	0.2574	0.0	0.3267	0.1782	4	0	11	8	MAAATTTTZTTTTAAAAZZAAATTTTTTTTTTZTTTTZTZAAMMMZTTAMAMZZAAMMMAAAAAAAAZMMMMZZAZAZMAZAAAMMZMMZATAZZAZZZZZ
29	economist_daily_chart_392	C	101	160.948	164.806	16	75	0.0099	0.495	0.0	0.2673	0.0495	6	0	6	4	MAAZTTZZZAAZZZAAZAAAAAMATAAAZTTTTTTTTTZTTTMTZAAAAAAAAZAATTTTZAAMMTZZTTTZZTTTTTTZTTTTTTTTZTTTTTTTTTTTT
10	economist_daily_chart_35	A	101	319.176	218.888	43	32	0.0396	0.1188	0.0198	0.396	0.3069	8	2	15	18	MATZMMZZAAAAAAATTTMMAAZAAMATZZZMTAMAZAZAAMTMZMMMAMMAMMMZTTAMMTTAAAMMMAZZMMAAMLMAAAAAAAAZLZZMTMMAMAAAA
10	economist_daily_chart_165	A	101	291.689	227.269	47	9	0.1782	0.3267	0.0792	0.2376	0.1584	15	5	14	13	MZTAZZMATTAZTTZZZTTTTTMTAATALTLZZLAZMZZZTMZTLLAMTZAMTTMMAZTTTZTAMMMZTTTTTTTTLMTZLLMAZAATAAAAAAAAMAMAT
10	economist_daily_chart_85	A	101	322.463	275.589	44	11	0.0297	0.2475	0.0	0.3762	0.2079	15	0	17	12	MAATMMTMMMTTATATAAAZAAZZAAZTATMMAMMZAATATAAAAAAMMZAAAAAMZZMMZATTAMTTAMAATAZZMATMZMTTTTZTTTAAZAZZZAMTT
10	economist_daily_chart_392	A	101	184.971	177.911	21	3	0.2574	0.396	0.0	0.4455	0.0594	8	0	10	3	MZTTTTTTTTTTTTTTTTTZZTAMMMMAATTAAAAZTAMAAAAAAAZAAZAATTTTTTTTTTZTAAAAAAAATAAAAAAAAAAATTAAZTTATZTTAAAAZ
10	economist_daily_chart_35	B	101	319.176	218.888	43	56	0.0495	0.1188	0.0198	0.396	0.3069	8	2	15	18	MATZMMZZAAAAAAATTTMMAAZAAMATZZZMTAMAZAZAAMTMZMMMAMMAMMMZTTAMMTTAAAMMMAZZMMAAMLMAAAAAAAAZLZZMTMMAMAAAA
10	economist_daily_chart_165	B	101	291.689	227.269	47	10	0.0594	0.3267	0.0792	0.2376	0.1584	15	5	14	13	MZTAZZMATTAZTTZZZTTTTTMTAATALTLZZLAZMZZZTMZTLLAMTZAMTTMMAZTTTZTAMMMZTTTTTTTTLMTZLLMAZAATAAAAAAAAMAMAT
10	economist_daily_chart_85	B	101	322.463	275.589	44	2	0.0594	0.2475	0.0	0.3762	0.2079	15	0	17	12	MAATMMTMMMTTATATAAAZAAZZAAZTATMMAMMZAATATAAAAAAMMZAAAAAMZZMMZATTAMTTAMAATAZZMATMZMTTTTZTTTAAZAZZZAMTT
10	economist_daily_chart_392	B	101	184.971	177.911	21	27	0.0594	0.396	0.0	0.4455	0.0594	8	0	10	3	MZTTTTTTTTTTTTTTTTTZZTAMMMMAATTAAAAZTAMAAAAAAAZAAZAATTTTTTTTTTZTAAAAAAAATAAAAAAAAAAATTAAZTTATZTTAAAAZ
10	economist_daily_chart_35	C	101	319.176	218.888	43	-1	0.0	0.1188	0.0198	0.396	0.3069	8	2	15	18	MATZMMZZAAAAAAATTTMMAAZAAMATZZZMTAMAZAZAAMTMZMMMAMMAMMMZTTAMMTTAAAMMMAZZMMAAMLMAAAAAAAAZLZZMTMMAMAAAA
10	economist_daily_chart_165	C	101	291.689	227.269	47	3	0.0396	0.3267	0.0792	0.2376	0.1584	15	5	14	13	MZTAZZMATTAZTTZZZTTTTTMTAATALTLZZLAZMZZZTMZTLLAMTZAMTTMMAZTTTZTAMMMZTTTTTTTTLMTZLLMAZAATAAAAAAAAMAMAT
10	economist_daily_chart_85	C	101	322.463	275.589	44	-1	0.0	0.2475	0.0	0.3762	0.2079	15	0	17	12	MAATMMTMMMTTATATAAAZAAZZAAZTATMMAMMZAATATAAAAAAMMZAAAAAMZZMMZATTAMTTAMAATAZZMATMZMTTTTZTTTAAZAZZZAMTT
10	economist_daily_chart_392	C	101	184.971	177.911	21	-1	0.0	0.396	0.0	0.4455	0.0594	8	0	10	3	MZTTTTTTTTTTTTTTTTTZZTAMMMMAATTAAAAZTAMAAAAAAAZAAZAATTTTTTTTTTZTAAAAAAAATAAAAAAAAAAATTAAZTTATZTTAAAAZ
18	economist_daily_chart_35	A	101	296.278	210.737	52	4	0.0297	0.1386	0.0792	0.2376	0.3069	11	7	18	16	MMATLTLZLMMATTAMAZZMMMAAMTZMMAATZAZZAAMMZMZLAZAZLZZMMAMMTAATTMAZMMLZMMLTZAMMAZZZMZAZTTALATAMMMZZMTZMA
18	economist_daily_chart_165	A	101	180.448	212.337	31	2	0.2673	0.6139	0.1089	0.099	0.0792	10	7	7	7	MZLTTTATMMAMTTTLLAMLTTTLLZAZATATTTTTTTZTAAAMLTTZTTTTLZLTTTTTTTTTTTMLLZMTTTTTTTTTTTTZTTTTTTTTTZTZTTTAT
18	economist_daily_chart_85	A	101	287.417	275.179	30	13	0.0297	0.1881	0.0	0.2673	0.2079	9	0	12	9	MMAAATAAAZMAATTZAZAATZZMTTZAATTTZTTTTTZAAZMMZMMZTTZZAMAAMATMMAAATZAMZZMZMMMAAAATMZMZMZZZMZZZZZZZZZZZZ
18	economist_daily_chart_392	A	101	252.702	205.788	22	10	0.2079	0.3762	0.0	0.3663	0.0495	8	0	10	4	MAAATZZTTTTZTTTZMMZAAZAZZTZTTTZTAAAAAAAZZTAAAAAAZTTTTTTTTZTZTTTAATAZAMAZAATTTZZTTTTAAAMTTAATTZAAAAZAA
18	economist_daily_chart_35	B	101	296.278	210.737	52	2	0.0297	0.1386	0.0792	0.2376	0.3069	11	7	18	16	MMATLTLZLMMATTAMAZZMMMAAMTZMMAATZAZZAAMMZMZLAZAZLZZMMAMMTAATTMAZMMLZMMLTZAMMAZZZMZAZTTALATAMMMZZMTZMA
18	economist_daily_chart_165	B	101	180.448	212.337	31	7	0.0198	0.6139	0.1089	0.099	0.0792	10	7	7	7	MZLTTTATMMAMTTTLLAMLTTTLLZAZATATTTTTTTZTAAAMLTTZTTTTLZLTTTTTTTTTTTMLLZMTTTTTTTTTTTTZTTTTTTTTTZTZTTTAT
18	economist_daily_chart_85	B	101	287.417	275.179	30	19	0.0297	0.1881	0.0	0.2673	0.2079	9	0	12	9	MMAAATAAAZMAATTZAZAATZZMTTZAATTTZTTTTTZAAZMMZMMZTTZZAMAAMATMMAAATZAMZZMZMMMAAAATMZMZMZZZMZZZZZZZZZZZZ
18	economist_daily_chart_392	B	101	252.702	205.788	22	3	0.0594	0.3762	0.0	0.3663	0.0495	8	0	10	4	MAAATZZTTTTZTTTZMMZAAZAZZTZTTTZTAAAAAAAZZTAAAAAAZTTTTTTTTZTZTTTAATAZAMAZAATTTZZTTTTAAAMTTAATTZAAAAZAA
18	economist_daily_chart_35	C	101	296.278	210.737	52	-1	0.0	0.1386	0.0792	0.2376	0.3069	11	7	18	16	MMATLTLZLMMATTAMAZZMMMAAMTZMMAATZAZZAAMMZMZLAZAZLZZMMAMMTAATTMAZMMLZMMLTZAMMAZZZMZAZTTALATAMMMZZMTZMA
18	economist_daily_chart_165	C	101	180.448	212.337	31	15	0.0495	0.6139	0.1089	0.099	0.0792	10	7	7	7	MZLTTTATMMAMTTTLLAMLTTTLLZAZATATTTTTTTZTAAAMLTTZTTTTLZLTTTTTTTTTTTMLLZMTTTTTTTTTTTTZTTTTTTTTTZTZTTTAT
18	economist_daily_chart_85	C	101	287.417	275.179	30	-1	0.0	0.1881	0.0	0.2673	0.2079	9	0	12	9	MMAAATAAAZMAATTZAZAATZZMTTZAATTTZTTTTTZAAZMMZMMZTTZZAMAAMATMMAAATZAMZZMZMMMAAAATMZMZMZZZMZZZZZZZZZZZZ
18	economist_daily_chart_392	C	101	252.702	205.788	22	7	0.0099	0.3762	0.0	0.3663	0.0495	8	0	10	4	MAAATZZTTTTZTTTZMMZAAZAZZTZTTTZTAAAAAAAZZTAAAAAAZTTTTTTTTZTZTTTAATAZAMAZAATTTZZTTTTAAAMTTAATTZAAAAZAA
32	economist_daily_chart_35	A	101	272.985	241.447	34	36	0.0198	0.1386	0.0495	0.1881	0.297	8	4	9	13	MMMMMAMMMMAZLZZTLAAZAZAMMZTMAAAAAZTTTTZMTTZMMZMZLTZZTAMMMLLTZZZMZZZZZZZZZZZZTTMMAAMAZMMAMAZAATZZMZMMM
32	economist_daily_chart_165	A	101	254.223	204.089	43	3	0.2277	0.3861	0.0792	0.2376	0.1287	14	6	13	10	MMZTTMTTTTTLAATTZLZZMMZZALTTTTTTTTZMAZAZTMZAAAZTTAZMAAAZATTTTTTTTTTZLALLTTTAAZZTAMATATATMMZTLLMTAAAAM
32	economist_daily_chart_85	A	101	263.653	262.103	33	22	0.0297	0.3168	0.0	0.396	0.1188	11	0	15	7	MAAAAZMMZZZZZMAAATTTTTTZTTTTAAMATTAMMZTTATTTAMMZZMAATAZTTTTAAAAATATTAAAAZZMTTTTTZZZAAAAAAAAAATAZTMAAA
32	economist_daily_chart_392	A	101	180.681	152.734	21	9	0.2376	0.396	0.0	0.4356	0.0198	9	0	10	2	MAAAZAATTTTTTTTATTTTTTTTTTTTTTTAAAAZZTTTAAAAATTTZZAZZTAAAAAAAAAAAZZTTTTZZZTTZZAAAAAATAAAAATAAATTZAAAM
32	economist_daily_chart_35	B	101	272.985	241.447	34	92	0.0099	0.1386	0.0495	0.1881	0.297	8	4	9	13	MMMMMAMMMMAZLZZTLAAZAZAMMZTMAAAAAZTTTTZMTTZMMZMZLTZZTAMMMLLTZZZMZZZZZZZZZZZZTTMMAAMAZMMAMAZAATZZMZMMM
32	economist_daily_chart_165	B	101	254.223	204.089	43	5	0.0297	0.3861	0.0792	0.2376	0.1287	14	6	13	10	MMZTTMTTTTTLAATTZLZZMMZZALTTTTTTTTZMAZAZTMZAAAZTTAZMAAAZATTTTTTTTTTZLALLTTTAAZZTAMATATATMMZTLLMTAAAAM
32	economist_daily_chart_85	B	101	263.653	262.103	33	64	0.0693	0.3168	0.0	0.396	0.1188	11	0	15	7	MAAAAZMMZZZZZMAAATTTTTTZTTTTAAMATTAMMZTTATTTAMMZZMAATAZTTTTAAAAATATTAAAAZZMTTTTTZZZAAAAAAAAAATAZTMAAA
32	economist_daily_chart_392	B	101	180.681	152.734	21	5	0.0792	0.396	0.0	0.4356	0.0198	9	0	10	2	MAAAZAATTTTTTTTATTTTTTTTTTTTTTTAAAAZZTTTAAAAATTTZZAZZTAAAAAAAAAAAZZTTTTZZZTTZZAAAAAATAAAAATAAATTZAAAM
32	economist_daily_chart_35	C	101	272.985	241.447	34	-1	0.0	0.1386	0.0495	0.1881	0.297	8	4	9	13	MMMMMAMMMMAZLZZTLAAZAZAMMZTMAAAAAZTTTTZMTTZMMZMZLTZZTAMMMLLTZZZMZZZZZZZZZZZZTTMMAAMAZMMAMAZAATZZMZMMM
32	economist_daily_chart_165	C	101	254.223	204.089	43	14	0.0396	0.3861	0.0792	0.2376	0.1287	14	6	13	10	MMZTTMTTTTTLAATTZLZZMMZZALTTTTTTTTZMAZAZTMZAAAZTTAZMAAAZATTTTTTTTTTZLALLTTTAAZZTAMATATATMMZTLLMTAAAAM
32	economist_daily_chart_85	C	101	263.653	262.103	33	-1	0.0	0.3168	0.0	0.396	0.1188	11	0	15	7	MAAAAZMMZZZZZMAAATTTTTTZTTTTAAMATTAMMZTTATTTAMMZZMAATAZTTTTAAAAATATTAAAAZZMTTTTTZZZAAAAAAAAAATAZTMAAA
32	economist_daily_chart_392	C	101	180.681	152.734	21	-1	0.0	0.396	0.0	0.4356	0.0198	9	0	10	2	MAAAZAATTTTTTTTATTTTTTTTTTTTTTTAAAAZZTTTAAAAATTTZZAZZTAAAAAAAAAAAZZTTTTZZZTTZZAAAAAATAAAAATAAATTZAAAM
21	economist_daily_chart_35	A	101	273.983	261.193	43	24	0.0495	0.1485	0.0396	0.2475	0.2475	9	1	17	16	MMAZMAAMAZMMMZMZAAAAZTTAAAMMAMTZZZTZZLLLZZLZZZMAAZMATTAMAZTATMZTTAZZMMAMTZAMMAAMATTMMAZMMTTZZZZZZZZZZ
21	economist_daily_chart_165	A	101	253.046	220.197	39	5	0.1386	0.3366	0.1089	0.2475	0.0792	12	7	14	6	MMMTTLALLMAAAMTTTTTZTTTTTTTTAAZAZTTLAAATAATTZZZZZZZZTLLZZATATTTTLLZAATTTMZLLZZTTZATAAMATAAZMLAAZTZAZZ
21	economist_daily_chart_85	A	101	231.553	207.044	24	13	0.0396	0.4653	0.0	0.2673	0.0594	8	0	11	5	MAAAATAZZMATZTTTTTTTTTTAZZAAATTTAMTTTTTZTTTTZTTTTTTZZTTZTZAAAZZAMMZAAAAATZZTTZZATAAATZAMAZATTTTTTTTZT
21	economist_daily_chart_392	A	101	260.441	204.181	35	3	0.1584	0.2376	0.0	0.4554	0.0891	13	0	14	8	MATTTZMAATTAAATAZTZZAZZMZTZMAAATTTTTTZAAZTAAZAMMAAAAAZAAAAZZAAZMAAAAATMTTTAZAATZAAAAAATZZAAAZZTMAATTZ
21	economist_daily_chart_35	B	101	273.983	261.193	43	42	0.0297	0.1485	0.0396	0.2475	0.2475	9	1	17	16	MMAZMAAMAZMMMZMZAAAAZTTAAAMMAMTZZZTZZLLLZZLZZZMAAZMATTAMAZTATMZTTAZZMMAMTZAMMAAMATTMMAZMMTTZZZZZZZZZZ
21	economist_daily_chart_165	B	101	253.046	220.197	39	31	0.0198	0.3366	0.1089	0.2475	0.0792	12	7	14	6	MMMTTLALLMAAAMTTTTTZTTTTTTTTAAZAZTTLAAATAATTZZZZZZZZTLLZZATATTTTLLZAATTTMZLLZZTTZATAAMATAAZMLAAZTZAZZ
21	economist_daily_chart_85	B	101	231.553	207.044	24	16	0.0297	0.4653	0.0	0.2673	0.0594	8	0	11	5	MAAAATAZZMATZTTTTTTTTTTAZZAAATTTAMTTTTTZTTTTZTTTTTTZZTTZTZAAAZZAMMZAAAAATZZTTZZATAAATZAMAZATTTTTTTTZT
21	economist_daily_chart_392	B	101	260.441	204.181	35	13	0.0495	0.2376	0.0	0.4554	0.0891	13	0	14	8	MATTTZMAATTAAATAZTZZAZZMZTZMAAATTTTTTZAAZTAAZAMMAAAAAZAAAAZZAAZMAAAAATMTTTAZAATZAAAAAATZZAAAZZTMAATTZ
21	economist_daily_chart_35	C	101	273.983	261.193	43	-1	0.0	0.1485	0.0396	0.2475	0.2475	9	1	17	16	MMAZMAAMAZMMMZMZAAAAZTTAAAMMAMTZZZTZZLLLZZLZZZMAAZMATTAMAZTATMZTTAZZMMAMTZAMMAAMATTMMAZMMTTZZZZZZZZZZ
21	economist_daily_chart_165	C	101	253.046	220.197	39	10	0.0396	0.3366	0.1089	0.2475	0.0792	12	7	14	6	MMMTTLALLMAAAMTTTTTZTTTTTTTTAAZAZTTLAAATAATTZZZZZZZZTLLZZATATTTTLLZAATTTMZLLZZTTZATAAMATAAZMLAAZTZAZZ
21	economist_daily_chart_85	C	101	231.553	207.044	24	-1	0.0	0.4653	0.0	0.2673	0.0594	8	0	11	5	MAAAATAZZMATZTTTTTTTTTTAZZAAATTTAMTTTTTZTTTTZTTTTTTZZTTZTZAAAZZAMMZAAAAATZZTTZZATAAATZAMAZATTTTTTTTZT
21	economist_daily_chart_392	C	101	260.441	204.181	35	14	0.0099	0.2376	0.0	0.4554	0.0891	13	0	14	8	MATTTZMAATTAAATAZTZZAZZMZTZMAAATTTTTTZAAZTAAZAMMAAAAAZAAAAZZAAZMAAAAATMTTTAZAATZAAAAAATZZAAAZZTMAATTZ
25	economist_daily_chart_35	A	101	328.598	265.991	49	8	0.0495	0.1881	0.099	0.2475	0.3267	13	6	13	17	MTZTMMALLTLLLMMAAAAMATTTLMLTTAZZTMAAMAAAMTMZTZMZTMMMAATTLLMZMMZTTAMMMMAAMMMTAAMMZZAAAZZTAAMMTALZMMMMZ
25	economist_daily_chart_165	A	101	227.058	201.191	37	4	0.2574	0.495	0.1386	0.1584	0.0891	13	11	8	5	MZTTTTTALTTZAMZMTLTZTTTTTTTTTZTZTZLTTLLTLLTLTTTTTTZTTTTLMMMAAAALZTLTATAALLMZZTZTTTTTTTTTTTAATAMMAAAAL
